path,artifact_class,provenance_basis,third_party_content,redistribution_basis,disposition
.agents/plugins/marketplace.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
.github/dependabot.yml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
.github/workflows/ci.yml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
.github/workflows/codeql.yml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
.github/workflows/dependency-review.yml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
.gitignore,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
AGENTS.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
CODE_OF_CONDUCT.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
CONTRIBUTING.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
GOVERNANCE.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
LICENSE,external-standard-license-text,Official Apache Software Foundation Apache License 2.0 text.,Apache License 2.0 standard text.,Included verbatim as the project's licensing instrument.,include
NOTICE,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
PRIVACY.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
README.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
SECURITY.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
SUPPORT.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
THIRD_PARTY_NOTICES.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
config/diffguard-lite.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
config/github-security-controls.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
docs/CI.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/CODEX-DOCUMENT-GOVERNANCE.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/CODEX-GOVERNANCE-PLUGIN.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
docs/DOC-comp-intel-product-requirements-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/DOC-comp-intel-source-inventory-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/DOC-marketing-brief-product-requirements-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/DOC-marketing-brief-source-inventory-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/PUBLIC-EXPORT-MANIFEST.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
